,Cities,Lat,Long,Temp,Humidity,Wind Speed,Cloudiness
479,Sao Jose da Coroa Grande,-8.9,-35.15,73.27,83,8.72,48
480,Port Macquarie,-31.43,152.91,66.2,37,14.99,36
481,Nikel,69.41,30.21,41.0,93,5.82,88
482,Rio Gallegos,-51.62,-69.22,42.8,56,10.29,75
483,Haysyn,48.81,29.39,55.0,95,10.18,92
484,Lauenburg,53.37,10.56,57.79,72,4.7,0
485,Whyalla,-33.04,137.58,68.0,24,12.75,0
486,Floro,61.6,5.03,57.43,100,5.93,64
487,Charyshskoye,51.4,83.56,41.32,87,2.46,36
488,Derzhavinsk,51.1,66.31,43.66,89,4.36,0
489,Dandong,40.12,124.37,60.31,61,7.49,0
490,Mula,38.04,-1.49,73.4,94,3.36,0
491,Chara,39.42,22.43,69.8,68,4.7,20
492,Netivot,31.42,34.59,61.21,88,2.68,0
493,Balkhash,46.84,74.98,53.11,100,12.41,0
494,Hambantota,6.12,81.12,78.94,98,13.09,8
495,Tarakan,3.3,117.63,76.33,100,6.71,64
496,Padang,-0.92,100.36,79.48,100,3.02,36
497,Puerto del Rosario,28.5,-13.86,71.6,73,12.75,0
498,Sao Filipe,14.9,-24.5,79.3,96,17.67,64
499,Port-Gentil,-0.72,8.78,77.0,88,4.7,40
500,Salvador,-12.98,-38.48,78.8,69,10.29,40
501,Ubinskoye,55.31,79.68,40.42,85,2.91,0
502,Aykhal,65.95,111.51,30.97,81,6.71,88
503,Sokoni,-12.89,28.78,68.68,64,1.57,88
504,Kambove,-10.88,26.6,58.96,90,2.57,0
505,Meulaboh,4.14,96.13,77.77,100,3.69,56
506,Nicoya,10.15,-85.45,77.0,94,5.82,75
507,Coffs Harbour,-30.3,153.13,68.0,56,12.75,0
508,Massakory,13.0,15.73,73.09,95,3.02,0
509,Grand-Santi,4.27,-54.38,74.71,95,3.47,32
510,Belaya Gora,68.54,146.19,52.57,79,10.4,20
511,Tutoia,-2.76,-42.27,81.64,67,8.72,0
512,El Fuerte,26.42,-108.62,83.26,79,2.01,76
513,Fort Myers Beach,26.45,-81.95,80.73,74,5.82,1
514,Santa Cruz,36.97,-122.03,78.37,57,5.82,1
515,General Pico,-35.66,-63.75,60.49,63,15.43,92
516,Katsuura,33.93,134.5,72.09,94,13.87,75
517,Sao Joao dos Patos,-6.5,-43.7,82.27,44,5.48,12
518,Mae Chan,20.15,99.85,73.4,100,2.13,90
519,Kabare,-1.65,29.38,57.79,100,0.89,68
520,Havelock,34.88,-76.9,79.2,82,3.36,20
521,Temir,49.14,57.13,46.99,76,2.91,0
522,Great Yarmouth,52.61,1.73,59.0,82,9.17,20
523,Pensacola,30.42,-87.22,80.89,76,9.17,1
524,Port Blair,11.67,92.75,83.44,96,4.47,92
525,Hinton,53.4,-117.57,54.55,70,2.46,88
526,Nouadhibou,20.93,-17.03,78.8,54,20.8,12
527,San Antonio,-33.58,-71.61,53.6,81,4.7,0
528,Kyshtovka,56.56,76.62,45.82,93,2.91,36
529,Luangwa,-15.62,30.4,75.34,38,5.14,48
530,Marawi,8.0,124.29,73.72,94,2.68,80
531,Roebourne,-20.77,117.15,68.95,45,6.38,0
532,Cartagena,37.63,-1.0,73.4,94,3.36,0
533,Lodwar,3.12,35.6,67.24,70,3.02,8
534,Taltal,-25.41,-70.49,56.26,90,2.01,0
535,Rantepao,-2.97,119.9,73.27,66,1.9,0
536,Cedar City,37.68,-113.06,89.06,2,17.22,1
537,Rio Verde de Mato Grosso,-18.92,-54.84,71.11,43,5.59,0
538,Le Port,42.87,1.37,51.04,92,1.57,68
539,Kranea Elassonos,39.95,21.97,57.97,92,2.13,24
540,Milkovo,41.53,24.68,68.0,64,10.29,8
541,Santiago del Estero,-27.8,-64.26,77.86,32,7.61,0
